Subnum,trial,run,rule,lastrule,color,shape,number,resp,corr,last_corr,corr_col,corr_shape,corr_num,persev,persev_err,abstime,rt,ptp,unambig,ptpCorr,tent,tent2,corr2,PARPERS,PARPERSERR,
0,1,1,1,-1,Red,Triangle,3,3,0,0,0,0,1,0,0,42123,13718,3,3,0,0,0,0,0,0,
0,2,1,1,-1,Yellow,Cross,4,4,0,0,0,0,1,0,0,56667,3797,3,3,1,1,1,0,1,1,
0,3,1,1,-1,Blue,Star,1,1,0,0,0,0,1,0,0,61289,3855,3,3,1,1,1,0,1,1,
0,4,1,1,-1,Red,Star,2,2,0,0,0,1,1,0,0,66050,7964,3,0,1,3,0,0,0,0,
0,5,1,1,-1,Blue,Cross,1,3,0,0,0,1,0,0,0,74882,6228,3,2,0,0,0,0,0,0,
0,6,1,1,-1,Blue,Cross,1,3,0,0,0,1,0,0,0,81935,2671,3,2,0,0,0,0,0,0,
0,7,1,1,-1,Blue,Cross,3,4,1,0,1,0,0,0,0,85430,2288,3,1,0,0,0,1,0,0,
0,8,1,1,-1,Red,Triangle,2,1,1,0,1,1,0,0,0,88542,2824,3,0,0,0,0,1,0,0,
0,9,1,1,-1,Green,Triangle,3,2,1,0,1,0,0,0,0,92282,4036,3,1,0,0,0,1,0,0,
0,10,1,1,-1,Red,Cross,4,1,1,0,1,0,0,0,0,97182,4111,3,1,0,0,0,1,0,0,
0,11,1,1,-1,Blue,Triangle,4,4,1,0,1,0,1,0,0,102199,2511,3,0,0,0,0,1,0,0,
0,12,1,1,-1,Green,Triangle,2,2,1,0,1,0,1,0,0,105538,2723,3,0,0,0,0,1,0,0,
0,13,1,1,-1,Blue,Star,2,4,1,0,1,0,0,0,0,109125,2735,3,1,0,0,0,1,0,0,
0,14,1,1,-1,Yellow,Triangle,2,3,1,0,1,0,0,0,0,112686,2302,3,1,0,0,0,1,0,0,
0,15,1,1,-1,Red,Cross,3,1,1,0,1,0,0,0,0,115814,2926,3,1,0,0,0,1,0,0,
0,16,1,1,-1,Green,Star,2,2,1,0,1,1,1,0,0,119650,2394,3,0,0,0,0,1,0,0,
0,17,2,2,1,Blue,Circle,4,4,1,1,1,1,1,0,0,122909,11734,1,0,0,0,0,1,0,0,
0,18,2,2,1,Blue,Circle,2,4,1,1,1,1,0,0,0,135469,18669,1,0,0,0,0,1,0,0,
0,19,2,2,1,Red,Star,1,1,0,1,1,0,1,0,0,154963,11478,1,0,0,0,0,0,0,0,
0,20,2,2,1,Yellow,Cross,2,3,1,1,1,1,0,0,0,167347,20052,1,0,0,0,0,1,0,0,
0,21,2,2,1,Green,Star,1,2,1,1,1,1,0,0,0,188222,8865,1,0,0,0,0,1,0,0,
0,22,2,2,1,Yellow,Star,1,3,0,1,1,0,0,1,0,197956,7530,1,1,0,0,0,0,0,0,
0,23,2,2,1,Green,Circle,4,2,0,1,1,0,0,1,0,206311,8103,1,1,0,0,0,0,0,0,
0,24,2,2,1,Green,Circle,4,4,1,0,0,1,1,0,0,215282,5395,1,0,0,0,0,1,0,0,
0,25,2,2,1,Blue,Cross,4,3,1,0,0,1,0,0,0,221501,3592,1,2,0,0,0,1,0,0,
0,26,2,2,1,Blue,Circle,4,4,1,1,1,1,1,0,0,225919,7365,1,0,0,0,0,1,0,0,
0,27,2,2,1,Yellow,Circle,2,4,1,0,0,1,0,0,0,234111,5396,1,2,0,0,0,1,0,0,
0,28,2,2,1,Blue,Star,1,2,1,0,0,1,0,0,0,240332,6568,1,2,0,0,0,1,0,0,
0,29,2,2,1,Blue,Triangle,3,1,1,0,0,1,0,0,0,247769,9058,1,2,0,0,0,1,0,0,
0,30,2,2,1,Yellow,Circle,1,4,1,0,0,1,0,0,0,257734,3283,1,2,0,0,0,1,0,0,
0,31,2,2,1,Green,Cross,4,3,1,0,0,1,0,0,0,261848,1690,1,2,0,0,0,1,0,0,
0,32,2,2,1,Red,Circle,3,4,1,0,0,1,0,0,0,264363,3430,1,2,0,0,0,1,0,0,
0,33,2,2,1,Red,Cross,2,3,1,0,0,1,0,0,0,268617,1896,1,2,0,0,0,1,0,0,
0,34,3,3,2,Blue,Cross,2,3,0,1,0,1,0,1,0,271338,8735,2,2,0,0,0,0,0,0,
0,35,3,3,2,Blue,Circle,3,4,0,1,1,1,0,1,0,280899,4997,2,0,0,0,0,0,0,0,
0,36,3,3,2,Yellow,Cross,3,3,1,1,1,1,1,1,0,286721,16590,2,0,0,0,0,1,0,0,
0,37,3,3,2,Red,Star,1,1,1,0,1,0,1,0,0,304135,13815,2,0,0,0,0,1,0,0,
0,38,3,3,2,Red,Circle,3,3,1,0,0,0,1,0,0,318863,4985,2,3,0,0,0,1,0,0,
0,39,3,3,2,Blue,Triangle,4,4,1,0,1,0,1,0,0,324704,22188,2,0,0,0,0,1,0,0,
0,40,3,3,2,Red,Circle,1,1,1,0,1,0,1,0,0,347721,4211,2,0,0,0,0,1,0,0,
0,41,3,3,2,Blue,Cross,2,2,1,0,0,0,1,0,0,352838,6621,2,3,0,0,0,1,0,0,
0,42,3,3,2,Yellow,Triangle,4,4,1,0,0,0,1,0,0,360325,3094,2,3,0,0,0,1,0,0,
0,43,3,3,2,Green,Star,3,3,1,0,0,0,1,0,0,364242,3057,2,3,0,0,0,1,0,0,
