trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4723,7805
2,1,3,2,2,1,2251,0
2,2,3,2,3,2,4491,5502
3,1,3,2,3,1,2891,0
3,2,3,2,2,3,4426,5327
4,1,3,4,2,1,4997,0
4,2,3,4,3,2,6749,0
4,3,3,4,3,2,7937,0
4,4,3,4,1,3,9028,9779
5,1,3,4,2,1,3542,0
5,2,3,4,3,2,6074,0
5,3,3,4,1,2,7178,0
5,4,3,4,3,1,8138,9052
6,1,3,5,2,1,1402,0
6,2,3,5,3,2,2775,0
6,3,3,5,1,1,5553,0
6,4,3,5,3,2,7867,0
6,5,3,5,1,3,8816,0
6,6,3,5,2,3,10043,10646
7,1,3,5,2,1,2176,0
7,2,3,5,3,2,3392,0
7,3,3,5,1,2,5791,0
7,4,3,5,3,1,6831,0
7,5,3,5,2,3,7863,8409
8,1,3,5,2,1,858,0
8,2,3,5,3,2,2410,0
8,3,3,5,3,2,4121,0
8,4,3,5,2,2,14673,0
8,5,3,5,1,1,23945,0
8,6,3,5,2,3,31271,0
8,7,3,5,2,3,34036,0
8,8,3,5,1,2,35451,0
8,9,3,5,3,1,36563,0
8,10,3,5,3,2,39850,0
8,11,3,5,1,3,41186,0
8,12,3,5,2,3,42444,0
8,13,3,5,2,1,43554,44301
9,1,3,6,2,1,6628,0
9,2,3,6,3,2,10545,0
9,3,3,6,3,2,11552,0
9,4,3,6,1,3,12688,0
9,5,3,6,2,3,13864,0
9,6,3,6,2,3,15176,15905
10,1,3,6,3,2,3558,0
10,2,3,6,3,3,5589,0
10,3,3,6,2,1,7682,0
10,4,3,6,2,3,10896,0
10,5,3,6,1,2,11994,0
10,6,3,6,3,2,13733,0
10,7,3,6,3,1,14845,0
10,8,3,6,2,3,16197,0
10,9,3,6,2,3,17285,17928
11,1,3,6,3,1,2266,0
11,2,3,6,1,3,6713,0
11,3,3,6,2,1,14749,0
11,4,3,6,3,2,16389,0
11,5,3,6,3,2,19231,0
11,6,3,6,1,3,20303,0
11,7,3,6,2,3,21381,0
11,8,3,6,2,1,22289,22896
12,1,3,7,2,1,6715,0
12,2,3,7,3,2,7953,0
12,3,3,7,1,2,12953,0
12,4,3,7,3,1,14289,0
12,5,3,7,2,3,18331,0
12,6,3,7,2,3,19377,0
12,7,3,7,1,3,20465,21221
13,1,3,7,2,1,16508,0
13,2,3,7,1,2,23032,0
13,3,3,7,3,1,24400,0
13,4,3,7,2,2,26779,0
13,5,3,7,1,3,29138,0
13,6,3,7,2,1,30756,0
13,7,3,7,3,2,38700,0
13,8,3,7,3,2,39752,0
13,9,3,7,1,3,40716,0
13,10,3,7,2,1,42577,0
13,11,3,7,2,3,43857,0
13,12,3,7,1,2,44992,45542
