trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4470,8167
2,1,3,2,2,1,3487,0
2,2,3,2,3,2,6114,7210
3,1,3,2,3,1,2490,0
3,2,3,2,2,3,3914,4734
4,1,3,4,3,1,4422,0
4,2,3,4,3,2,7338,0
4,3,3,4,2,3,8914,0
4,4,3,4,2,3,10544,0
4,5,3,4,1,2,12989,0
4,6,3,4,3,1,14318,0
4,7,3,4,3,2,15741,0
4,8,3,4,1,3,16926,17686
5,1,3,4,2,1,5273,0
5,2,3,4,3,2,7336,0
5,3,3,4,1,2,8464,0
5,4,3,4,3,1,9516,10206
6,1,3,5,3,1,6407,0
6,2,3,5,2,3,11111,0
6,3,3,5,1,2,12421,0
6,4,3,5,3,1,14533,0
6,5,3,5,3,2,15987,0
6,6,3,5,1,3,18636,0
6,7,3,5,2,3,19729,20388
7,1,3,5,3,1,3847,0
7,2,3,5,2,3,7235,0
7,3,3,5,1,2,9418,0
7,4,3,5,3,1,10387,0
7,5,3,5,3,2,11615,0
7,6,3,5,1,3,13009,0
7,7,3,5,2,1,14091,14753
8,1,3,5,2,1,3227,0
8,2,3,5,3,2,4458,0
8,3,3,5,3,2,5796,0
8,4,3,5,2,3,7406,0
8,5,3,5,1,3,8542,0
8,6,3,5,2,1,13264,0
8,7,3,5,3,2,15672,0
8,8,3,5,3,2,17351,0
8,9,3,5,1,3,18491,0
8,10,3,5,2,3,19760,0
8,11,3,5,2,1,20720,21347
9,1,3,6,3,1,2464,0
9,2,3,6,2,2,5992,0
9,3,3,6,1,2,11567,0
9,4,3,6,3,1,14681,0
9,5,3,6,2,3,16145,0
9,6,3,6,2,2,19034,0
9,7,3,6,1,3,23710,0
9,8,3,6,2,1,24926,0
9,9,3,6,3,2,25970,0
9,10,3,6,3,2,28068,0
9,11,3,6,1,3,30057,0
9,12,3,6,2,1,31106,0
9,13,3,6,2,3,32469,0
9,14,3,6,1,3,33509,34343
10,1,3,6,3,2,5277,0
10,2,3,6,3,1,6229,0
10,3,3,6,2,3,8756,0
10,4,3,6,2,2,10569,0
10,5,3,6,1,3,16389,0
10,6,3,6,3,2,19143,0
10,7,3,6,3,1,20171,0
10,8,3,6,2,3,21854,0
10,9,3,6,2,2,24214,0
10,10,3,6,1,3,27184,0
10,11,3,6,2,2,32655,0
10,12,3,6,2,1,34444,0
10,13,3,6,3,2,35735,0
10,14,3,6,3,2,38742,0
10,15,3,6,1,3,39994,0
10,16,3,6,2,1,41207,0
10,17,3,6,2,3,42151,42886
11,1,3,6,3,3,6799,0
11,2,3,6,2,1,9521,0
11,3,3,6,3,2,10564,0
11,4,3,6,3,2,12391,0
11,5,3,6,1,3,13263,0
11,6,3,6,2,3,14295,0
11,7,3,6,2,1,15215,15922
12,1,3,7,3,3,3096,0
12,2,3,7,2,1,9489,0
12,3,3,7,3,2,10545,0
12,4,3,7,3,2,12891,0
12,5,3,7,1,3,13865,0
12,6,3,7,2,2,15881,0
12,7,3,7,2,1,16945,0
12,8,3,7,2,3,17912,0
12,9,3,7,1,3,18931,19761
13,1,3,7,2,1,3340,0
13,2,3,7,3,2,5178,0
13,3,3,7,3,2,6579,0
13,4,3,7,1,3,7561,0
13,5,3,7,2,1,8672,0
13,6,3,7,2,3,9650,0
13,7,3,7,1,2,11043,11752
