trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,5688,8322
2,1,3,2,2,3,5904,0
2,2,3,2,3,3,9408,0
2,3,3,2,3,3,11489,0
2,4,3,2,3,1,13633,0
2,5,3,2,3,2,20813,21697
3,1,3,2,3,1,6006,0
3,2,3,2,2,3,7624,8780
4,1,3,4,3,1,3105,0
4,2,3,4,2,3,5986,0
4,3,3,4,1,2,7761,0
4,4,3,4,3,1,9570,0
4,5,3,4,3,2,11639,0
4,6,3,4,1,3,13899,15483
5,1,3,4,2,1,2488,0
5,2,3,4,3,2,4049,0
5,3,3,4,1,2,6497,0
5,4,3,4,3,1,7610,8324
6,1,3,5,2,1,5012,0
6,2,3,5,3,2,6774,0
6,3,3,5,1,1,8662,0
6,4,3,5,3,2,11119,0
6,5,3,5,1,3,12720,0
6,6,3,5,2,3,14071,14860
7,1,3,5,3,1,2601,0
7,2,3,5,1,1,5343,0
7,3,3,5,2,3,8623,0
7,4,3,5,1,2,9892,0
7,5,3,5,3,2,11199,0
7,6,3,5,3,1,13794,0
7,7,3,5,2,3,15326,16300
8,1,3,5,2,1,1904,0
8,2,3,5,3,2,5977,0
8,3,3,5,3,2,8017,0
8,4,3,5,2,3,11874,0
8,5,3,5,1,3,13394,0
8,6,3,5,2,1,15026,0
8,7,3,5,3,2,18051,0
8,8,3,5,3,2,22337,0
8,9,3,5,1,3,24000,0
8,10,3,5,2,3,25748,0
8,11,3,5,2,1,27501,28435
9,1,3,6,3,1,3080,0
9,2,3,6,2,3,4664,0
9,3,3,6,1,2,6424,0
9,4,3,6,3,2,7465,0
9,5,3,6,3,1,8729,0
9,6,3,6,2,3,9841,0
9,7,3,6,1,3,11009,0
9,8,3,6,2,3,12089,12664
10,1,3,6,3,2,1883,0
10,2,3,6,3,1,2970,0
10,3,3,6,2,3,6186,0
10,4,3,6,1,3,7742,0
10,5,3,6,2,3,9148,0
10,6,3,6,3,2,10780,0
10,7,3,6,3,1,13174,0
10,8,3,6,3,3,14781,0
10,9,3,6,2,3,17918,0
10,10,3,6,1,2,19342,0
10,11,3,6,3,1,20477,0
10,12,3,6,3,2,22695,0
10,13,3,6,1,3,23558,0
10,14,3,6,2,3,25039,0
10,15,3,6,2,1,26038,26737
11,1,3,6,3,1,4003,0
11,2,3,6,3,3,8132,0
11,3,3,6,1,3,10156,0
11,4,3,6,2,1,11204,0
11,5,3,6,3,2,12309,0
11,6,3,6,3,2,13805,0
11,7,3,6,1,3,14901,0
11,8,3,6,2,3,15965,0
11,9,3,6,2,1,16821,17437
12,1,3,7,3,2,2403,0
12,2,3,7,3,1,3299,0
12,3,3,7,2,3,5817,0
12,4,3,7,1,2,7644,0
12,5,3,7,3,1,9084,0
12,6,3,7,2,3,11337,0
12,7,3,7,2,3,13828,0
12,8,3,7,1,2,14847,0
12,9,3,7,3,2,16958,0
12,10,3,7,3,1,18158,0
12,11,3,7,2,3,19278,0
12,12,3,7,1,1,20425,0
12,13,3,7,2,3,21771,0
12,14,3,7,1,3,22705,23424
13,1,3,7,2,1,4533,0
13,2,3,7,3,2,6661,0
13,3,3,7,3,2,8958,0
13,4,3,7,1,3,10325,0
13,5,3,7,2,3,12078,0
13,6,3,7,3,1,13110,0
13,7,3,7,2,3,14233,0
13,8,3,7,1,2,15349,15959
