trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4352,7597
2,1,3,2,3,1,3903,0
2,2,3,2,1,2,7790,0
2,3,3,2,3,3,13191,0
2,4,3,2,2,3,17312,0
2,5,3,2,2,1,19976,0
2,6,3,2,3,2,25272,27518
3,1,3,2,3,1,3093,0
3,2,3,2,2,3,8685,10128
4,1,3,4,2,1,3546,0
4,2,3,4,3,2,7662,0
4,3,3,4,3,2,10062,0
4,4,3,4,1,3,14062,14912
5,1,3,4,3,3,3055,0
5,2,3,4,2,1,4663,0
5,3,3,4,3,2,6121,0
5,4,3,4,2,2,8369,0
5,5,3,4,1,2,11528,0
5,6,3,4,3,1,13036,13791
6,1,3,5,2,1,6531,0
6,2,3,5,3,2,7940,0
6,3,3,5,3,2,10036,0
6,4,3,5,1,3,12340,0
6,5,3,5,2,3,13684,14292
7,1,3,5,3,2,1156,0
7,2,3,5,3,1,2300,0
7,3,3,5,2,3,3666,0
7,4,3,5,3,2,5332,0
7,5,3,5,2,3,7826,0
7,6,3,5,2,3,9130,0
7,7,3,5,1,1,12651,0
7,8,3,5,3,2,16142,0
7,9,3,5,3,2,17004,0
7,10,3,5,1,3,18139,0
7,11,3,5,2,1,19411,0
7,12,3,5,2,2,20931,0
7,13,3,5,3,2,23452,0
7,14,3,5,2,3,25092,0
7,15,3,5,2,3,26091,0
7,16,3,5,1,2,28237,0
7,17,3,5,3,2,29221,0
7,18,3,5,3,1,31060,0
7,19,3,5,2,3,32176,32799
8,1,3,5,2,2,1033,0
8,2,3,5,3,2,2694,0
8,3,3,5,3,1,3800,0
8,4,3,5,2,3,5558,0
8,5,3,5,1,3,6854,0
8,6,3,5,2,1,7999,8541
9,1,3,6,3,1,1240,0
9,2,3,6,3,3,3913,0
9,3,3,6,2,3,6864,0
9,4,3,6,1,2,9697,0
9,5,3,6,3,2,11033,0
9,6,3,6,3,1,12786,0
9,7,3,6,2,3,13888,0
9,8,3,6,1,3,14857,0
9,9,3,6,2,3,15914,16482
10,1,3,6,2,2,1999,0
10,2,3,6,3,1,3161,0
10,3,3,6,3,2,4651,0
10,4,3,6,1,1,5883,0
10,5,3,6,2,3,8667,0
10,6,3,6,2,3,9651,0
10,7,3,6,1,2,10723,0
10,8,3,6,3,2,11794,0
10,9,3,6,3,1,12840,0
10,10,3,6,2,3,13981,0
10,11,3,6,2,3,14767,15498
11,1,3,6,3,1,820,0
11,2,3,6,3,3,2423,0
11,3,3,6,2,3,3908,0
11,4,3,6,3,2,5476,0
11,5,3,6,3,3,6954,0
11,6,3,6,1,3,8380,0
11,7,3,6,2,1,9588,0
11,8,3,6,3,2,10796,0
11,9,3,6,3,2,14053,0
11,10,3,6,1,3,14940,0
11,11,3,6,2,3,15755,0
11,12,3,6,2,1,16525,17098
12,1,3,7,2,1,1455,0
12,2,3,7,3,2,2504,0
12,3,3,7,3,2,4192,0
12,4,3,7,1,3,5935,0
12,5,3,7,2,3,6959,0
12,6,3,7,2,3,7838,0
12,7,3,7,3,2,8896,0
12,8,3,7,3,2,9840,0
12,9,3,7,2,1,13216,0
12,10,3,7,2,3,13921,0
12,11,3,7,1,3,14928,15475
13,1,3,7,3,1,2113,0
13,2,3,7,2,2,3643,0
13,3,3,7,1,2,5145,0
13,4,3,7,3,1,6074,0
13,5,3,7,2,3,7050,0
13,6,3,7,3,2,8387,0
13,7,3,7,2,3,11010,0
13,8,3,7,2,3,11859,0
13,9,3,7,1,2,14343,0
13,10,3,7,3,2,15155,0
13,11,3,7,3,1,16280,0
13,12,3,7,2,3,17337,0
13,13,3,7,1,3,18323,18924
