trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,2611,5986
2,1,3,2,2,1,2019,0
2,2,3,2,3,2,3111,3616
3,1,3,2,3,1,1134,0
3,2,3,2,2,3,1948,2412
4,1,3,4,3,1,1229,0
4,2,3,4,3,2,2124,0
4,3,3,4,2,3,4451,0
4,4,3,4,1,2,5330,0
4,5,3,4,3,1,7176,0
4,6,3,4,2,3,7979,0
4,7,3,4,2,3,11587,0
4,8,3,4,1,2,13274,0
4,9,3,4,3,1,14232,0
4,10,3,4,3,2,17593,0
4,11,3,4,1,3,18714,0
4,12,3,4,2,1,19662,0
4,13,3,4,2,3,20537,0
4,14,3,4,1,2,21226,0
4,15,3,4,3,2,21714,22197
5,1,3,4,3,2,2977,0
5,2,3,4,3,1,3762,0
5,3,3,4,2,3,4545,0
5,4,3,4,1,3,6410,0
5,5,3,4,2,1,7161,0
5,6,3,4,3,2,8361,0
5,7,3,4,1,1,10616,0
5,8,3,4,3,2,13880,0
5,9,3,4,1,3,14665,0
5,10,3,4,2,3,17130,0
5,11,3,4,2,1,17816,0
5,12,3,4,3,2,18463,0
5,13,3,4,3,2,18966,19446
6,1,3,5,3,1,2179,0
6,2,3,5,2,3,7666,0
6,3,3,5,1,2,8722,0
6,4,3,5,3,1,9411,0
6,5,3,5,3,2,11363,0
6,6,3,5,1,3,12655,0
6,7,3,5,2,1,13441,0
6,8,3,5,1,3,18329,18874
7,1,3,5,3,2,2952,0
7,2,3,5,3,1,3654,0
7,3,3,5,2,3,4497,0
7,4,3,5,2,3,6262,0
7,5,3,5,1,2,8261,0
7,6,3,5,3,1,9094,0
7,7,3,5,3,2,10453,0
7,8,3,5,1,3,11237,0
7,9,3,5,2,3,12241,0
7,10,3,5,2,1,12861,0
7,11,3,5,3,2,13444,13955
8,1,3,5,3,1,3996,0
8,2,3,5,3,2,4816,0
8,3,3,5,1,3,5560,0
8,4,3,5,2,3,6544,0
8,5,3,5,2,1,7211,7712
9,1,3,6,3,1,3312,0
9,2,3,6,3,2,4099,0
9,3,3,6,1,3,5063,0
9,4,3,6,2,1,5781,0
9,5,3,6,3,2,6546,0
9,6,3,6,2,3,8912,0
9,7,3,6,1,3,10070,0
9,8,3,6,2,1,10781,0
9,9,3,6,3,2,12624,0
9,10,3,6,3,2,13239,0
9,11,3,6,1,3,13918,0
9,12,3,6,2,2,14654,0
9,13,3,6,3,1,16706,0
9,14,3,6,2,3,17342,0
9,15,3,6,2,3,18743,0
9,16,3,6,3,2,21310,0
9,17,3,6,3,2,25463,0
9,18,3,6,1,3,26211,0
9,19,3,6,2,1,26949,0
9,20,3,6,3,2,27743,0
9,21,3,6,2,3,29479,0
9,22,3,6,2,3,30125,0
9,23,3,6,1,3,31188,31708
10,1,3,6,3,2,1531,0
10,2,3,6,3,1,2216,0
10,3,3,6,2,3,3443,0
10,4,3,6,2,2,4165,0
10,5,3,6,1,2,7266,0
10,6,3,6,3,1,8051,0
10,7,3,6,2,3,8746,0
10,8,3,6,2,3,9459,0
10,9,3,6,1,2,10148,0
10,10,3,6,3,2,10833,0
10,11,3,6,3,1,11570,0
10,12,3,6,2,3,12226,0
10,13,3,6,2,3,12849,13374
11,1,3,6,3,1,2615,0
11,2,3,6,3,3,3357,0
11,3,3,6,1,2,5067,0
11,4,3,6,3,1,5694,0
11,5,3,6,2,3,6459,0
11,6,3,6,2,2,7117,0
11,7,3,6,1,1,8013,0
11,8,3,6,1,3,9208,0
11,9,3,6,2,1,10434,0
11,10,3,6,3,2,11189,0
11,11,3,6,1,2,12220,0
11,12,3,6,3,1,12901,0
11,13,3,6,2,3,13540,0
11,14,3,6,2,3,14260,14793
12,1,3,7,3,2,3741,0
12,2,3,7,3,1,4373,0
12,3,3,7,2,3,5020,0
12,4,3,7,2,3,6604,0
12,5,3,7,1,2,7548,0
12,6,3,7,3,1,8127,0
12,7,3,7,3,2,9237,0
12,8,3,7,1,3,9945,0
12,9,3,7,2,3,10985,0
12,10,3,7,2,3,11582,12143
13,1,3,7,3,1,4501,0
13,2,3,7,3,2,5337,0
13,3,3,7,2,2,5991,0
13,4,3,7,1,3,6926,0
13,5,3,7,2,1,7582,0
13,6,3,7,3,3,9374,0
13,7,3,7,1,2,10944,0
13,8,3,7,3,1,11693,0
13,9,3,7,2,3,12398,0
13,10,3,7,3,2,14704,0
13,11,3,7,1,3,15452,0
13,12,3,7,2,1,16217,0
13,13,3,7,2,3,16998,0
13,14,3,7,3,3,17853,0
13,15,3,7,3,2,19987,0
13,16,3,7,3,2,22524,0
13,17,3,7,2,2,23113,0
13,18,3,7,1,3,24252,0
13,19,3,7,2,1,25013,0
13,20,3,7,2,3,25869,0
13,21,3,7,1,2,26684,0
13,22,3,7,3,2,27403,0
13,23,3,7,3,1,28077,0
13,24,3,7,2,3,28868,0
13,25,3,7,2,3,29489,0
13,26,3,7,1,2,32068,32624
