trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime,totmove
1,1,3,1,3,1,1606,5125,0
2,1,3,2,2,1,711,0,0
2,2,3,2,3,2,1374,1814,0
3,1,3,2,3,1,882,0,0
3,2,3,2,2,3,2612,3188,0
4,1,3,4,3,2,1473,0,0
4,2,3,4,3,3,6899,0,1
4,3,3,4,2,3,9823,0,2
4,4,3,4,2,1,11568,0,3
4,5,3,4,3,2,12355,0,4
4,6,3,4,3,2,13025,0,5
4,7,3,4,1,3,13655,14117,6
5,1,3,4,2,1,1995,0,7
5,2,3,4,3,2,3260,0,8
5,3,3,4,1,2,4579,0,9
5,4,3,4,3,1,5361,5960,10
6,1,3,5,2,1,4223,0,11
6,2,3,5,1,2,6409,0,12
6,3,3,5,3,1,7569,0,13
6,4,3,5,2,3,9441,0,14
6,5,3,5,1,2,10377,0,15
6,6,3,5,3,1,11144,0,16
6,7,3,5,3,2,11952,0,17
6,8,3,5,1,3,12768,0,18
6,9,3,5,2,3,13424,13906,19
7,1,3,5,3,2,2620,0,20
7,2,3,5,2,1,5686,0,21
7,3,3,5,2,3,8027,0,22
7,4,3,5,1,2,10298,0,23
7,5,3,5,3,1,11051,0,24
7,6,3,5,3,2,11846,0,25
7,7,3,5,1,3,12532,0,26
7,8,3,5,2,1,13194,13708,27
8,1,3,5,2,1,583,0,28
8,2,3,5,3,3,1345,0,29
8,3,3,5,1,2,2831,0,30
8,4,3,5,3,1,3753,0,31
8,5,3,5,3,2,4727,0,32
8,6,3,5,1,3,6368,0,33
8,7,3,5,2,3,7080,0,34
8,8,3,5,2,1,7751,8697,35
9,1,3,6,3,1,1248,0,36
9,2,3,6,1,2,4984,0,37
9,3,3,6,3,3,5833,0,38
9,4,3,6,2,1,8528,0,39
9,5,3,6,3,2,9528,0,40
9,6,3,6,2,3,13872,0,41
9,7,3,6,2,3,15727,0,42
9,8,3,6,1,2,16895,0,43
9,9,3,6,3,1,17952,0,44
9,10,3,6,3,2,19913,0,45
9,11,3,6,1,3,20791,0,46
9,12,3,6,2,3,22142,0,47
9,13,3,6,2,3,22919,23432,48
10,1,3,6,3,3,3190,0,49
10,2,3,6,2,1,9661,0,50
10,3,3,6,3,2,10573,0,51
10,4,3,6,3,2,11804,0,52
10,5,3,6,1,3,12556,0,53
10,6,3,6,2,1,13357,0,54
10,7,3,6,2,3,13996,14529,55
11,1,3,6,3,2,8572,0,56
11,2,3,6,3,1,9517,0,57
11,3,3,6,2,3,11132,0,58
11,4,3,6,2,3,12643,0,59
11,5,3,6,1,2,13955,0,60
11,6,3,6,3,2,14948,0,61
11,7,3,6,3,3,30252,0,62
11,8,3,6,3,1,34081,0,63
11,9,3,6,2,3,35081,0,64
11,10,3,6,2,3,35993,36627,65
12,1,3,7,2,2,62149,0,66
12,2,3,7,3,1,64062,0,67
12,3,3,7,3,2,65348,0,68
12,4,3,7,1,3,67083,0,69
12,5,3,7,2,1,68059,0,70
12,6,3,7,2,3,68780,0,71
12,7,3,7,1,3,70412,0,72
12,8,3,7,3,2,72035,0,73
12,9,3,7,3,2,72917,0,74
12,10,3,7,3,1,74088,0,75
12,11,3,7,2,3,75050,0,76
12,12,3,7,1,3,75841,0,77
12,13,3,7,2,3,76649,77184,78
13,1,3,7,2,1,1189,0,79
13,2,3,7,1,2,3563,0,80
13,3,3,7,3,3,5932,0,81
13,4,3,7,2,1,8100,0,82
13,5,3,7,3,2,9515,0,83
13,6,3,7,3,2,10732,0,84
13,7,3,7,1,3,11610,0,85
13,8,3,7,2,1,12442,0,86
13,9,3,7,2,3,13099,0,87
13,10,3,7,1,2,13947,14496,88
