trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4404,7152
2,1,3,2,3,2,1632,0
2,2,3,2,2,3,5034,0
2,3,3,2,2,1,7623,0
2,4,3,2,3,2,9767,10481
3,1,3,2,3,1,2099,0
3,2,3,2,2,3,4411,5556
4,1,3,4,3,1,3542,0
4,2,3,4,3,3,5719,0
4,3,3,4,2,3,11687,0
4,4,3,4,1,2,14535,0
4,5,3,4,3,2,17343,0
4,6,3,4,3,1,18641,0
4,7,3,4,2,3,21166,0
4,8,3,4,2,2,22293,0
4,9,3,4,1,2,24502,25054
5,1,3,4,2,1,1690,0
5,2,3,4,3,2,2987,0
5,3,3,4,1,2,4538,0
5,4,3,4,3,1,5395,5998
6,1,3,5,2,1,1149,0
6,2,3,5,3,2,3294,0
6,3,3,5,3,2,4891,0
6,4,3,5,1,3,5950,0
6,5,3,5,2,3,6731,7272
7,1,3,5,2,1,2448,0
7,2,3,5,3,2,3347,0
7,3,3,5,3,2,4552,0
7,4,3,5,1,3,5794,0
7,5,3,5,2,1,6440,6986
8,1,3,5,3,1,1497,0
8,2,3,5,2,3,4283,0
8,3,3,5,1,2,5864,0
8,4,3,5,3,1,6631,0
8,5,3,5,3,2,7632,0
8,6,3,5,2,3,9240,0
8,7,3,5,2,2,13208,0
8,8,3,5,1,3,15440,0
8,9,3,5,2,1,16296,0
8,10,3,5,3,3,17504,0
8,11,3,5,3,2,18560,0
8,12,3,5,1,2,20614,0
8,13,3,5,3,1,21728,0
8,14,3,5,2,3,23504,0
8,15,3,5,1,3,24487,0
8,16,3,5,2,1,25343,25905
9,1,3,6,3,3,2728,0
9,2,3,6,3,3,4272,0
9,3,3,6,3,1,6696,0
9,4,3,6,3,2,7672,0
9,5,3,6,2,2,9064,0
9,6,3,6,2,3,10323,0
9,7,3,6,3,2,12336,0
9,8,3,6,2,2,13430,0
9,9,3,6,1,1,17382,0
9,10,3,6,2,3,20807,0
9,11,3,6,2,3,21736,0
9,12,3,6,1,2,23095,0
9,13,3,6,3,2,23959,0
9,14,3,6,3,1,25991,0
9,15,3,6,2,3,26799,0
9,16,3,6,1,3,27607,0
9,17,3,6,2,3,28271,28772
10,1,3,6,3,2,820,0
10,2,3,6,3,1,1603,0
10,3,3,6,2,2,2362,0
10,4,3,6,1,3,4971,0
10,5,3,6,2,1,5713,0
10,6,3,6,3,3,6705,0
10,7,3,6,2,3,11007,0
10,8,3,6,1,2,12162,0
10,9,3,6,3,2,13322,0
10,10,3,6,3,1,14526,0
10,11,3,6,2,3,15258,0
10,12,3,6,2,3,15898,16580
11,1,3,6,3,1,1660,0
11,2,3,6,3,2,3468,0
11,3,3,6,2,3,5123,0
11,4,3,6,1,2,6322,0
11,5,3,6,3,1,7307,0
11,6,3,6,2,3,8075,0
11,7,3,6,1,2,14891,0
11,8,3,6,2,3,15574,0
11,9,3,6,3,2,18515,0
11,10,3,6,3,1,19299,0
11,11,3,6,2,3,20779,0
11,12,3,6,1,2,23051,0
11,13,3,6,3,1,24897,0
11,14,3,6,2,3,26194,0
11,15,3,6,2,3,28338,0
11,16,3,6,1,2,29602,0
11,17,3,6,3,1,30507,0
11,18,3,6,3,2,31717,0
11,19,3,6,1,3,32746,0
11,20,3,6,2,1,33562,0
11,21,3,6,2,3,34169,34686
12,1,3,7,3,2,1524,0
12,2,3,7,3,1,2340,0
12,3,3,7,2,3,3260,0
12,4,3,7,1,3,5836,0
12,5,3,7,2,2,9436,0
12,6,3,7,3,2,10650,0
12,7,3,7,3,3,11293,0
12,8,3,7,2,1,13043,0
12,9,3,7,3,2,15364,0
12,10,3,7,2,3,19205,0
12,11,3,7,1,3,21115,0
12,12,3,7,2,1,21923,0
12,13,3,7,3,2,22699,0
12,14,3,7,3,2,23325,0
12,15,3,7,1,3,25059,0
12,16,3,7,2,1,26059,0
12,17,3,7,2,3,26715,0
12,18,3,7,1,3,27415,0
12,19,3,7,3,2,28809,0
12,20,3,7,3,2,29510,0
12,21,3,7,2,1,31519,0
12,22,3,7,2,3,32101,0
12,23,3,7,1,3,32731,33390
13,1,3,7,2,1,1052,0
13,2,3,7,3,3,2155,0
13,3,3,7,1,2,5356,0
13,4,3,7,3,2,6991,0
13,5,3,7,3,1,8927,0
13,6,3,7,2,3,11150,0
13,7,3,7,2,3,12015,0
13,8,3,7,1,2,12911,0
13,9,3,7,3,2,13784,0
13,10,3,7,3,1,15023,0
13,11,3,7,2,3,15919,0
13,12,3,7,1,3,16558,17097
