trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,1558,2918
2,1,3,2,3,1,9127,0
2,2,3,2,1,1,13344,0
2,3,3,2,2,2,17144,0
2,4,3,2,3,3,19135,0
2,5,3,2,1,2,21920,0
2,6,3,2,2,3,25864,0
2,7,3,2,2,1,27415,0
2,8,3,2,3,2,29246,30229
3,1,3,2,3,1,2452,0
3,2,3,2,2,3,4387,4925
4,1,3,4,3,1,3742,0
4,2,3,4,3,2,4919,0
4,3,3,4,2,3,9637,0
4,4,3,4,1,2,12173,0
4,5,3,4,3,1,14757,0
4,6,3,4,2,2,16216,0
4,7,3,4,2,3,19073,0
4,8,3,4,2,3,20244,0
4,9,3,4,3,3,21718,0
4,10,3,4,3,2,27516,0
4,11,3,4,1,2,29507,0
4,12,3,4,3,1,31321,0
4,13,3,4,2,3,33957,0
4,14,3,4,2,3,35584,0
4,15,3,4,1,3,36707,0
4,16,3,4,3,2,38290,0
4,17,3,4,3,1,39763,0
4,18,3,4,3,2,41373,0
4,19,3,4,1,3,42432,43456
5,1,3,4,3,2,2915,0
5,2,3,4,3,1,7090,0
5,3,3,4,2,3,8399,0
5,4,3,4,2,3,9441,0
5,5,3,4,3,2,11175,0
5,6,3,4,1,2,14434,0
5,7,3,4,3,1,16134,0
5,8,3,4,2,3,18043,0
5,9,3,4,2,3,18981,0
5,10,3,4,1,2,20031,0
5,11,3,4,3,2,20862,0
5,12,3,4,3,1,21702,22311
6,1,3,5,2,1,1485,0
6,2,3,5,3,2,2591,0
6,3,3,5,3,2,4279,0
6,4,3,5,2,3,6029,0
6,5,3,5,3,2,7607,0
6,6,3,5,1,3,8304,0
6,7,3,5,2,3,9039,9538
7,1,3,5,3,2,1736,0
7,2,3,5,3,1,2696,0
7,3,3,5,2,3,3663,0
7,4,3,5,2,3,5679,0
7,5,3,5,3,2,6906,0
7,6,3,5,1,2,8909,0
7,7,3,5,3,1,10151,0
7,8,3,5,2,3,11289,0
7,9,3,5,2,3,13855,0
7,10,3,5,1,2,15086,0
7,11,3,5,3,2,17343,0
7,12,3,5,3,1,18551,0
7,13,3,5,2,3,19522,20016
8,1,3,5,2,1,1721,0
8,2,3,5,3,2,2690,0
8,3,3,5,1,2,6153,0
8,4,3,5,3,1,7620,0
8,5,3,5,1,3,10829,0
8,6,3,5,2,1,11889,0
8,7,3,5,1,2,13833,0
8,8,3,5,2,3,17717,0
8,9,3,5,2,1,18625,0
8,10,3,5,3,2,20103,0
8,11,3,5,3,2,21864,0
8,12,3,5,1,3,22671,0
8,13,3,5,2,3,23376,0
8,14,3,5,2,1,24156,24665
9,1,3,6,3,1,3042,0
9,2,3,6,3,2,14490,0
9,3,3,6,2,3,17178,0
9,4,3,6,2,3,19685,0
9,5,3,6,1,3,23056,0
9,6,3,6,3,2,24398,0
9,7,3,6,3,1,27088,0
9,8,3,6,3,2,27944,0
9,9,3,6,1,3,28808,0
9,10,3,6,2,3,29617,0
9,11,3,6,2,3,30312,30816
10,1,3,6,2,1,1137,0
10,2,3,6,3,2,2308,0
10,3,3,6,3,2,3583,0
10,4,3,6,1,3,4992,0
10,5,3,6,2,1,6297,0
10,6,3,6,2,3,7105,7665
11,1,3,6,3,1,1009,0
11,2,3,6,2,2,3071,0
11,3,3,6,1,3,5479,0
11,4,3,6,3,2,7204,0
11,5,3,6,3,1,7912,0
11,6,3,6,2,2,9312,0
11,7,3,6,2,3,13921,0
11,8,3,6,2,3,14897,0
11,9,3,6,1,2,16294,0
11,10,3,6,3,2,17499,0
11,11,3,6,3,1,19470,0
11,12,3,6,2,3,20856,0
11,13,3,6,2,3,21588,22469
12,1,3,7,3,1,2050,0
12,2,3,7,2,3,4477,0
12,3,3,7,1,2,6145,0
12,4,3,7,3,1,7144,0
12,5,3,7,3,3,8650,0
12,6,3,7,2,3,11617,0
12,7,3,7,1,2,13864,0
12,8,3,7,3,1,14849,0
12,9,3,7,3,2,16070,0
12,10,3,7,2,3,19776,0
12,11,3,7,3,2,23466,0
12,12,3,7,1,1,25024,0
12,13,3,7,2,3,27420,0
12,14,3,7,1,3,30464,0
12,15,3,7,2,1,32157,0
12,16,3,7,3,2,33351,0
12,17,3,7,3,2,37399,0
12,18,3,7,1,3,38355,0
12,19,3,7,2,1,40087,0
12,20,3,7,2,3,40856,0
12,21,3,7,1,3,41616,42189
13,1,3,7,3,1,1588,0
13,2,3,7,1,3,6692,0
13,3,3,7,2,1,7506,0
13,4,3,7,3,2,8508,0
13,5,3,7,3,2,10276,0
13,6,3,7,1,3,11762,0
13,7,3,7,2,1,12476,0
13,8,3,7,2,3,13107,0
13,9,3,7,1,2,14300,14980
