trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,3683,5524
2,1,3,2,2,1,1598,0
2,2,3,2,3,2,2649,3208
3,1,3,2,3,1,1340,0
3,2,3,2,2,3,2524,3262
4,1,3,4,2,1,10671,0
4,2,3,4,3,2,16725,0
4,3,3,4,3,2,17693,0
4,4,3,4,1,3,18700,19421
5,1,3,4,2,1,7299,0
5,2,3,4,3,2,8423,0
5,3,3,4,1,2,9454,0
5,4,3,4,3,1,10454,11336
6,1,3,5,2,1,22217,0
6,2,3,5,3,2,23465,0
6,3,3,5,3,2,24494,0
6,4,3,5,1,3,25616,0
6,5,3,5,2,3,26600,27258
7,1,3,5,2,1,6734,0
7,2,3,5,3,2,9389,0
7,3,3,5,3,2,10830,0
7,4,3,5,1,3,11988,0
7,5,3,5,2,1,12912,13401
8,1,3,5,3,1,9550,0
8,2,3,5,3,2,10841,0
8,3,3,5,1,3,11774,0
8,4,3,5,2,3,13254,0
8,5,3,5,2,1,14126,14628
9,1,3,6,2,1,5465,0
9,2,3,6,3,2,8456,0
9,3,3,6,3,2,9735,0
9,4,3,6,1,3,10751,0
9,5,3,6,2,3,11735,0
9,6,3,6,2,3,13622,14195
10,1,3,6,2,1,9785,0
10,2,3,6,3,2,10792,0
10,3,3,6,3,2,11674,0
10,4,3,6,1,3,12466,0
10,5,3,6,2,1,13450,0
10,6,3,6,2,3,14923,15729
11,1,3,6,2,1,12730,0
11,2,3,6,3,2,13889,0
11,3,3,6,3,2,14817,0
11,4,3,6,1,3,15633,0
11,5,3,6,2,3,18280,0
11,6,3,6,2,1,19112,19644
12,1,3,7,2,1,9192,0
12,2,3,7,3,2,15184,0
12,3,3,7,3,2,16417,0
12,4,3,7,1,3,17189,0
12,5,3,7,2,1,18592,0
12,6,3,7,2,3,19330,0
12,7,3,7,1,3,20168,20733
13,1,3,7,3,2,9811,0
13,2,3,7,3,1,14153,0
13,3,3,7,2,3,15786,0
13,4,3,7,2,3,21625,0
13,5,3,7,1,2,29157,0
13,6,3,7,3,1,29927,0
13,7,3,7,3,2,30919,0
13,8,3,7,1,3,31696,0
13,9,3,7,2,3,32844,33396
