trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4298,6552
2,1,3,2,2,1,2423,0
2,2,3,2,3,2,4141,5075
3,1,3,2,3,1,1441,0
3,2,3,2,2,3,3233,3807
4,1,3,4,3,1,3636,0
4,2,3,4,1,3,6789,0
4,3,3,4,2,1,7811,0
4,4,3,4,1,2,9795,0
4,5,3,4,3,1,12298,0
4,6,3,4,2,3,15123,0
4,7,3,4,1,2,16218,0
4,8,3,4,3,1,17041,0
4,9,3,4,3,2,18067,0
4,10,3,4,1,3,18898,19485
5,1,3,4,2,1,4560,0
5,2,3,4,3,2,5526,0
5,3,3,4,1,2,6743,0
5,4,3,4,3,1,7638,8420
6,1,3,5,2,1,4462,0
6,2,3,5,3,2,5547,0
6,3,3,5,3,2,6459,0
6,4,3,5,1,3,7360,0
6,5,3,5,2,3,8250,8827
7,1,3,5,3,2,3704,0
7,2,3,5,3,1,4501,0
7,3,3,5,2,3,5630,0
7,4,3,5,1,3,7814,0
7,5,3,5,2,1,8766,0
7,6,3,5,3,3,10655,0
7,7,3,5,1,2,13602,0
7,8,3,5,3,1,14646,0
7,9,3,5,3,2,16229,0
7,10,3,5,1,3,20973,0
7,11,3,5,2,3,22701,0
7,12,3,5,2,1,23629,0
7,13,3,5,3,2,24532,0
7,14,3,5,1,3,25524,0
7,15,3,5,3,2,26773,0
7,16,3,5,3,1,27540,0
7,17,3,5,2,3,28637,29303
8,1,3,5,2,1,1333,0
8,2,3,5,3,3,4094,0
8,3,3,5,1,2,6837,0
8,4,3,5,3,1,7606,0
8,5,3,5,2,3,8400,0
8,6,3,5,1,2,9616,0
8,7,3,5,3,1,11844,0
8,8,3,5,3,2,14172,0
8,9,3,5,2,3,16300,0
8,10,3,5,2,3,18205,0
8,11,3,5,1,2,19244,0
8,12,3,5,3,2,20252,0
8,13,3,5,3,1,21294,0
8,14,3,5,2,3,22492,0
8,15,3,5,1,3,23468,0
8,16,3,5,2,1,24348,24883
9,1,3,6,3,3,4210,0
9,2,3,6,2,1,7145,0
9,3,3,6,3,2,7994,0
9,4,3,6,3,2,8858,0
9,5,3,6,1,3,9928,0
9,6,3,6,2,3,10859,0
9,7,3,6,2,3,12275,12873
10,1,3,6,2,1,5300,0
10,2,3,6,3,2,6109,0
10,3,3,6,3,2,7268,0
10,4,3,6,1,3,8215,0
10,5,3,6,2,1,9132,0
10,6,3,6,2,3,9981,10594
11,1,3,6,2,1,4116,0
11,2,3,6,3,2,5516,0
11,3,3,6,3,2,6876,0
11,4,3,6,1,3,7851,0
11,5,3,6,2,3,8779,0
11,6,3,6,2,1,9588,10162
12,1,3,7,2,1,3026,0
12,2,3,7,1,2,6264,0
12,3,3,7,2,1,7985,0
12,4,3,7,3,2,8870,0
12,5,3,7,3,2,9762,0
12,6,3,7,1,3,10865,0
12,7,3,7,2,1,11897,0
12,8,3,7,2,3,12705,0
12,9,3,7,1,3,13681,14345
13,1,3,7,2,1,2498,0
13,2,3,7,3,2,3559,0
13,3,3,7,3,2,4599,0
13,4,3,7,1,3,5605,0
13,5,3,7,2,1,6511,0
13,6,3,7,2,3,7334,0
13,7,3,7,1,2,8118,8659
