trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,2260,3659
2,1,3,2,2,1,12796,0
2,2,3,2,3,2,16145,16831
3,1,3,2,3,1,1575,0
3,2,3,2,2,3,2607,3095
4,1,3,4,2,1,28016,0
4,2,3,4,3,2,31098,0
4,3,3,4,3,2,32833,0
4,4,3,4,1,3,33911,34613
5,1,3,4,2,1,7851,0
5,2,3,4,3,2,9564,0
5,3,3,4,1,2,10696,0
5,4,3,4,3,1,11672,12306
6,1,3,5,2,1,32842,0
6,2,3,5,3,2,33939,0
6,3,3,5,3,2,35491,0
6,4,3,5,1,3,36291,0
6,5,3,5,2,3,37067,37558
7,1,3,5,3,2,10054,0
7,2,3,5,3,1,11729,0
7,3,3,5,1,3,69401,0
7,4,3,5,2,3,70615,0
7,5,3,5,2,1,71327,0
7,6,3,5,3,2,72336,0
7,7,3,5,1,2,73984,0
7,8,3,5,3,1,74746,0
7,9,3,5,2,3,75673,76212
8,1,3,5,3,2,10306,0
8,2,3,5,3,1,12492,0
8,3,3,5,2,3,13411,0
8,4,3,5,1,3,14206,0
8,5,3,5,2,1,14983,15489
9,1,3,6,2,1,10712,0
9,2,3,6,3,2,11650,0
9,3,3,6,3,2,12617,0
9,4,3,6,1,3,13442,0
9,5,3,6,2,3,14250,0
9,6,3,6,2,3,15041,15589
10,1,3,6,2,1,22485,0
10,2,3,6,3,2,23403,0
10,3,3,6,3,2,24638,0
10,4,3,6,1,3,25533,0
10,5,3,6,2,1,26538,0
10,6,3,6,2,3,27259,27784
11,1,3,6,2,1,12023,0
11,2,3,6,3,2,13023,0
11,3,3,6,3,2,13647,0
11,4,3,6,1,3,14351,0
11,5,3,6,2,3,15039,0
11,6,3,6,2,1,15694,16222
12,1,3,7,2,1,6205,0
12,2,3,7,3,2,6973,0
12,3,3,7,3,2,7628,0
12,4,3,7,1,3,8332,0
12,5,3,7,2,3,9032,0
12,6,3,7,2,3,9700,0
12,7,3,7,3,2,15013,0
12,8,3,7,3,1,16643,0
12,9,3,7,2,3,17412,0
12,10,3,7,1,3,18145,18683
13,1,3,7,2,1,43229,0
13,2,3,7,3,2,45166,0
13,3,3,7,3,2,47371,0
13,4,3,7,1,3,48417,0
13,5,3,7,2,1,50354,0
13,6,3,7,2,3,51134,0
13,7,3,7,1,3,51854,0
13,8,3,7,3,2,55454,56129
