trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,6197,9819
2,1,3,2,2,1,2352,0
2,2,3,2,3,2,4024,4650
3,1,3,2,3,1,2072,0
3,2,3,2,2,3,4231,4943
4,1,3,4,3,2,2786,0
4,2,3,4,2,1,6107,0
4,3,3,4,2,2,9788,0
4,4,3,4,1,2,17227,0
4,5,3,4,3,1,20460,0
4,6,3,4,2,3,24522,0
4,7,3,4,2,3,25852,0
4,8,3,4,1,2,32744,0
4,9,3,4,3,1,34954,0
4,10,3,4,3,2,36514,0
4,11,3,4,1,3,38040,0
4,12,3,4,2,3,39522,0
4,13,3,4,2,1,44625,0
4,14,3,4,3,2,46016,0
4,15,3,4,1,2,46967,47591
5,1,3,4,3,2,2886,0
5,2,3,4,3,1,5167,0
5,3,3,4,2,3,7015,0
5,4,3,4,2,3,8229,0
5,5,3,4,3,2,15181,0
5,6,3,4,3,2,17196,0
5,7,3,4,1,3,19996,0
5,8,3,4,2,3,21148,0
5,9,3,4,2,1,22939,0
5,10,3,4,3,2,25276,0
5,11,3,4,1,2,27027,0
5,12,3,4,3,1,28195,28855
6,1,3,5,2,1,2560,0
6,2,3,5,3,2,4647,0
6,3,3,5,1,2,6660,0
6,4,3,5,3,1,9039,0
6,5,3,5,2,3,11662,0
6,6,3,5,1,3,12640,13456
7,1,3,5,3,1,2529,0
7,2,3,5,3,3,5833,0
7,3,3,5,1,3,7982,0
7,4,3,5,2,1,9017,0
7,5,3,5,3,2,10308,0
7,6,3,5,1,3,11375,0
7,7,3,5,2,1,13375,0
7,8,3,5,3,2,14665,0
7,9,3,5,1,3,17001,0
7,10,3,5,3,1,18527,0
7,11,3,5,2,3,19471,0
7,12,3,5,1,2,22614,0
7,13,3,5,3,2,24254,0
7,14,3,5,3,1,25623,0
7,15,3,5,2,3,26862,27442
8,1,3,5,2,1,1336,0
8,2,3,5,3,2,3665,0
8,3,3,5,3,2,4976,0
8,4,3,5,1,3,9731,0
8,5,3,5,2,1,12412,0
8,6,3,5,3,2,14569,0
8,7,3,5,2,3,17389,0
8,8,3,5,2,3,18946,0
8,9,3,5,1,2,20791,0
8,10,3,5,3,2,22105,0
8,11,3,5,3,1,23120,0
8,12,3,5,2,3,24439,0
8,13,3,5,2,3,25223,25858
9,1,3,6,3,1,2726,0
9,2,3,6,3,2,6069,0
9,3,3,6,2,3,8450,0
9,4,3,6,2,3,9401,0
9,5,3,6,1,2,11305,0
9,6,3,6,3,1,13444,0
9,7,3,6,3,2,15954,0
9,8,3,6,1,3,16889,0
9,9,3,6,2,3,18219,0
9,10,3,6,2,3,19032,19751
10,1,3,6,3,1,2946,0
10,2,3,6,2,3,5675,0
10,3,3,6,1,2,8049,0
10,4,3,6,3,2,9197,0
10,5,3,6,3,1,12735,0
10,6,3,6,2,3,14048,0
10,7,3,6,2,3,14793,15364
11,1,3,6,3,1,2229,0
11,2,3,6,2,3,4567,0
11,3,3,6,3,2,7955,0
11,4,3,6,1,2,8699,0
11,5,3,6,2,3,11132,0
11,6,3,6,2,1,12273,0
11,7,3,6,3,2,13448,0
11,8,3,6,3,2,14340,0
11,9,3,6,1,3,16991,0
11,10,3,6,2,3,18047,0
11,11,3,6,2,1,18975,19552
12,1,3,7,3,1,2418,0
12,2,3,7,1,2,5744,0
12,3,3,7,3,1,6717,0
12,4,3,7,2,3,7901,0
12,5,3,7,2,3,10121,0
12,6,3,7,1,2,12328,0
12,7,3,7,3,2,13504,0
12,8,3,7,3,1,15132,0
12,9,3,7,2,3,16135,0
12,10,3,7,1,3,17254,0
12,11,3,7,2,3,18213,18983
13,1,3,7,2,1,2990,0
13,2,3,7,3,2,4863,0
13,3,3,7,3,3,6550,0
13,4,3,7,2,3,8282,0
13,5,3,7,1,3,9924,0
13,6,3,7,3,2,11797,0
13,7,3,7,3,1,12637,0
13,8,3,7,2,3,14236,0
13,9,3,7,1,2,18381,0
13,10,3,7,3,1,19371,0
13,11,3,7,3,2,21037,0
13,12,3,7,1,3,23347,0
13,13,3,7,2,1,25339,0
13,14,3,7,2,2,26323,0
13,15,3,7,2,3,27341,0
13,16,3,7,1,2,29618,30176
