trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,3720,5980
2,1,3,2,2,1,2943,0
2,2,3,2,3,2,5311,5942
3,1,3,2,3,1,1479,0
3,2,3,2,2,3,3970,4636
4,1,3,4,3,3,5637,0
4,2,3,4,2,1,12581,0
4,3,3,4,3,2,15078,0
4,4,3,4,3,2,16318,0
4,5,3,4,1,3,17389,18351
5,1,3,4,2,1,8051,0
5,2,3,4,3,2,11523,0
5,3,3,4,1,2,13690,0
5,4,3,4,3,1,14835,15930
6,1,3,5,2,1,4509,0
6,2,3,5,3,2,5796,0
6,3,3,5,3,2,8324,0
6,4,3,5,1,3,9307,0
6,5,3,5,2,3,10645,11771
7,1,3,5,2,1,12393,0
7,2,3,5,3,2,13936,0
7,3,3,5,1,2,16752,0
7,4,3,5,3,1,18685,0
7,5,3,5,2,3,20066,20701
8,1,3,5,3,1,15286,0
8,2,3,5,3,2,16701,0
8,3,3,5,1,3,19327,0
8,4,3,5,2,3,20749,0
8,5,3,5,2,1,22438,23192
9,1,3,6,2,1,8014,0
9,2,3,6,3,2,9296,0
9,3,3,6,3,2,21429,0
9,4,3,6,1,3,22574,0
9,5,3,6,2,1,23800,0
9,6,3,6,2,2,25024,0
9,7,3,6,1,3,27959,0
9,8,3,6,2,3,29253,30195
10,1,3,6,3,3,5031,0
10,2,3,6,2,1,8862,0
10,3,3,6,3,2,10407,0
10,4,3,6,1,2,12211,0
10,5,3,6,3,1,13520,0
10,6,3,6,2,3,14821,0
10,7,3,6,2,3,15664,16228
11,1,3,6,3,2,12338,0
11,2,3,6,3,1,13513,0
11,3,3,6,2,3,19174,0
11,4,3,6,2,3,20551,0
11,5,3,6,1,2,24203,0
11,6,3,6,3,2,26027,0
11,7,3,6,3,1,27532,0
11,8,3,6,2,3,28709,0
11,9,3,6,2,3,29974,30668
12,1,3,7,2,1,33111,0
12,2,3,7,3,2,34297,0
12,3,3,7,3,2,36664,0
12,4,3,7,1,3,37898,0
12,5,3,7,2,1,39479,0
12,6,3,7,2,3,40720,0
12,7,3,7,1,3,41896,42744
13,1,3,7,2,1,19322,0
13,2,3,7,3,2,23714,0
13,3,3,7,3,2,27915,0
13,4,3,7,1,3,29326,0
13,5,3,7,2,1,31835,0
13,6,3,7,2,3,32962,0
13,7,3,7,1,2,34152,34743
