trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4222,6339
2,1,3,2,2,1,2055,0
2,2,3,2,3,2,3551,4119
3,1,3,2,3,1,1692,0
3,2,3,2,3,2,3228,0
3,3,3,2,2,3,5652,0
3,4,3,2,2,3,10869,11504
4,1,3,4,3,3,4116,0
4,2,3,4,2,1,8100,0
4,3,3,4,3,2,10949,0
4,4,3,4,3,2,11861,0
4,5,3,4,1,3,12651,13237
5,1,3,4,3,2,3306,0
5,2,3,4,3,1,5027,0
5,3,3,4,2,3,6739,0
5,4,3,4,2,2,7614,0
5,5,3,4,2,2,14161,0
5,6,3,4,3,2,16421,0
5,7,3,4,1,3,17626,0
5,8,3,4,2,1,18546,0
5,9,3,4,2,3,22251,0
5,10,3,4,1,3,23130,0
5,11,3,4,3,2,24283,0
5,12,3,4,3,2,25162,0
5,13,3,4,3,1,25930,26563
6,1,3,5,2,1,3724,0
6,2,3,5,3,2,6532,0
6,3,3,5,3,2,8187,0
6,4,3,5,1,3,9189,0
6,5,3,5,2,3,10170,11166
7,1,3,5,3,2,3358,0
7,2,3,5,3,1,4385,0
7,3,3,5,1,3,7747,0
7,4,3,5,2,1,8817,0
7,5,3,5,3,2,13717,0
7,6,3,5,1,3,14565,0
7,7,3,5,2,1,15514,0
7,8,3,5,2,3,16415,0
7,9,3,5,3,2,17901,0
7,10,3,5,3,2,19097,0
7,11,3,5,1,3,21851,0
7,12,3,5,2,3,23084,0
7,13,3,5,2,1,25180,0
7,14,3,5,3,2,26316,0
7,15,3,5,1,2,27332,0
7,16,3,5,3,1,28896,0
7,17,3,5,2,3,29716,30255
8,1,3,5,3,2,2549,0
8,2,3,5,3,1,8595,0
8,3,3,5,2,3,9451,0
8,4,3,5,1,3,10291,0
8,5,3,5,2,1,11180,11731
9,1,3,6,3,2,2381,0
9,2,3,6,3,1,9713,0
9,3,3,6,2,3,11035,0
9,4,3,6,2,3,12611,0
9,5,3,6,1,2,17842,0
9,6,3,6,3,1,19019,0
9,7,3,6,3,2,21114,0
9,8,3,6,1,3,22234,0
9,9,3,6,2,1,23617,0
9,10,3,6,2,3,24483,0
9,11,3,6,1,3,25394,26063
10,1,3,6,3,2,1564,0
10,2,3,6,3,1,2331,0
10,3,3,6,2,2,3242,0
10,4,3,6,1,3,5098,0
10,5,3,6,2,3,5915,0
10,6,3,6,2,1,6667,0
10,7,3,6,3,2,7498,0
10,8,3,6,1,2,8913,0
10,9,3,6,3,1,9684,0
10,10,3,6,2,3,10579,0
10,11,3,6,2,3,11370,11897
11,1,3,6,3,2,1961,0
11,2,3,6,3,1,3458,0
11,3,3,6,2,3,5721,0
11,4,3,6,2,3,6978,0
11,5,3,6,1,2,8251,0
11,6,3,6,3,1,9162,0
11,7,3,6,3,2,13074,0
11,8,3,6,1,3,13944,0
11,9,3,6,2,1,15126,0
11,10,3,6,2,3,16017,16586
12,1,3,7,3,1,2599,0
12,2,3,7,3,3,4201,0
12,3,3,7,1,2,5430,0
12,4,3,7,3,1,6270,0
12,5,3,7,2,3,8153,0
12,6,3,7,2,3,9294,0
12,7,3,7,1,2,10334,0
12,8,3,7,3,1,11118,0
12,9,3,7,3,2,13065,0
12,10,3,7,1,3,13830,0
12,11,3,7,2,3,14711,0
12,12,3,7,2,3,15551,16120
13,1,3,7,3,1,826,0
13,2,3,7,3,3,4272,0
13,3,3,7,1,2,6580,0
13,4,3,7,2,3,8257,0
13,5,3,7,2,1,9627,0
13,6,3,7,3,2,10701,0
13,7,3,7,3,2,11494,0
13,8,3,7,1,3,12300,0
13,9,3,7,2,1,13300,0
13,10,3,7,2,3,14282,0
13,11,3,7,1,2,15049,15693
