trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4049,7677
2,1,3,2,3,1,1198,0
2,2,3,2,1,2,11733,0
2,3,3,2,3,3,14589,0
2,4,3,2,2,2,17830,0
2,5,3,2,2,1,19813,0
2,6,3,2,1,3,22077,0
2,7,3,2,2,1,27469,0
2,8,3,2,3,2,29293,30166
3,1,3,2,3,1,2228,0
3,2,3,2,2,3,4829,5490
4,1,3,4,3,1,3457,0
4,2,3,4,2,2,8645,0
4,3,3,4,3,2,14385,0
4,4,3,4,2,3,18701,0
4,5,3,4,1,3,26046,0
4,6,3,4,2,1,29842,0
4,7,3,4,3,2,31390,0
4,8,3,4,3,2,32813,0
4,9,3,4,1,3,33905,34533
5,1,3,4,3,2,6697,0
5,2,3,4,3,1,7897,0
5,3,3,4,2,3,10119,0
5,4,3,4,2,3,12009,0
5,5,3,4,3,2,15545,0
5,6,3,4,3,2,20257,0
5,7,3,4,1,3,24553,0
5,8,3,4,2,1,25489,0
5,9,3,4,2,3,26873,0
5,10,3,4,1,2,28145,0
5,11,3,4,3,2,29066,0
5,12,3,4,3,1,29881,30494
6,1,3,5,2,1,10774,0
6,2,3,5,3,2,11631,0
6,3,3,5,3,2,15015,0
6,4,3,5,1,3,16038,0
6,5,3,5,2,3,16982,17639
7,1,3,5,3,1,10268,0
7,2,3,5,3,3,12766,0
7,3,3,5,1,3,15973,0
7,4,3,5,2,1,19659,0
7,5,3,5,3,2,20893,0
7,6,3,5,3,2,22997,0
7,7,3,5,1,3,23893,0
7,8,3,5,2,1,24742,25281
8,1,3,5,3,1,5360,0
8,2,3,5,3,2,6352,0
8,3,3,5,1,3,7776,0
8,4,3,5,2,3,8704,0
8,5,3,5,2,1,9555,10091
9,1,3,6,2,1,10460,0
9,2,3,6,3,2,11412,0
9,3,3,6,3,2,12164,0
9,4,3,6,1,3,12922,0
9,5,3,6,2,3,14091,0
9,6,3,6,2,3,14821,15376
10,1,3,6,2,1,11623,0
10,2,3,6,3,2,14599,0
10,3,3,6,3,2,15519,0
10,4,3,6,1,3,16606,0
10,5,3,6,2,1,17554,0
10,6,3,6,2,3,18366,18928
11,1,3,6,2,1,5410,0
11,2,3,6,3,2,6283,0
11,3,3,6,3,2,7276,0
11,4,3,6,1,3,8195,0
11,5,3,6,2,3,9066,0
11,6,3,6,2,1,9946,10552
12,1,3,7,3,1,1840,0
12,2,3,7,2,3,2686,0
12,3,3,7,1,3,3517,0
12,4,3,7,3,2,5663,0
12,5,3,7,3,1,9565,0
12,6,3,7,3,2,11037,0
12,7,3,7,1,3,11885,0
12,8,3,7,2,3,12728,0
12,9,3,7,2,3,13608,0
12,10,3,7,3,2,14801,0
12,11,3,7,3,1,15573,0
12,12,3,7,2,3,16810,0
12,13,3,7,1,3,17605,18151
13,1,3,7,2,1,6337,0
13,2,3,7,3,2,7271,0
13,3,3,7,3,3,8799,0
13,4,3,7,1,2,11189,0
13,5,3,7,3,1,13631,0
13,6,3,7,2,3,14743,0
13,7,3,7,2,3,15585,0
13,8,3,7,1,2,16440,16998
