trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4911,7329
2,1,3,2,3,1,1547,0
2,2,3,2,1,3,8728,0
2,3,3,2,2,1,11432,0
2,4,3,2,3,2,13632,14730
3,1,3,2,3,1,3060,0
3,2,3,2,2,3,4729,5680
4,1,3,4,2,2,2560,0
4,2,3,4,3,1,6241,0
4,3,3,4,3,3,9960,0
4,4,3,4,1,3,14872,0
4,5,3,4,2,1,17709,0
4,6,3,4,3,2,19517,0
4,7,3,4,3,2,21980,0
4,8,3,4,1,3,23789,24392
5,1,3,4,2,1,6876,0
5,2,3,4,3,2,9779,0
5,3,3,4,3,2,14014,0
5,4,3,4,1,3,15179,0
5,5,3,4,2,1,16692,0
5,6,3,4,3,2,17919,18515
6,1,3,5,2,2,1705,0
6,2,3,5,3,1,4622,0
6,3,3,5,3,2,6326,0
6,4,3,5,2,2,10741,0
6,5,3,5,2,3,12877,0
6,6,3,5,1,3,14494,0
6,7,3,5,2,1,15636,0
6,8,3,5,3,2,17703,0
6,9,3,5,1,2,19013,0
6,10,3,5,3,1,21334,0
6,11,3,5,2,3,23174,0
6,12,3,5,1,3,24669,25319
7,1,3,5,3,2,3853,0
7,2,3,5,3,1,5401,0
7,3,3,5,2,3,6589,0
7,4,3,5,2,3,8948,0
7,5,3,5,3,2,11694,0
7,6,3,5,2,3,15453,0
7,7,3,5,1,2,16525,0
7,8,3,5,3,1,17645,0
7,9,3,5,2,2,19141,0
7,10,3,5,3,2,23244,0
7,11,3,5,1,3,24137,0
7,12,3,5,2,3,26325,0
7,13,3,5,2,1,28032,0
7,14,3,5,3,2,29629,30449
8,1,3,5,2,1,917,0
8,2,3,5,3,2,3080,0
8,3,3,5,2,3,8088,0
8,4,3,5,1,2,9703,0
8,5,3,5,3,1,12878,0
8,6,3,5,3,2,17013,0
8,7,3,5,1,3,18409,0
8,8,3,5,2,3,19613,0
8,9,3,5,2,1,21389,22015
9,1,3,6,3,1,2302,0
9,2,3,6,3,3,5074,0
9,3,3,6,1,2,7077,0
9,4,3,6,3,1,9431,0
9,5,3,6,2,3,12943,0
9,6,3,6,2,2,16294,0
9,7,3,6,3,2,18628,0
9,8,3,6,1,3,20222,0
9,9,3,6,2,3,22989,0
9,10,3,6,3,1,26623,0
9,11,3,6,1,3,32166,0
9,12,3,6,2,1,33263,0
9,13,3,6,3,2,34678,0
9,14,3,6,3,2,37282,0
9,15,3,6,1,3,38157,0
9,16,3,6,2,3,39542,0
9,17,3,6,2,3,40647,41241
10,1,3,6,3,2,1453,0
10,2,3,6,3,1,3365,0
10,3,3,6,2,2,5621,0
10,4,3,6,1,3,9028,0
10,5,3,6,2,1,12091,0
10,6,3,6,2,3,14381,0
10,7,3,6,1,2,18253,0
10,8,3,6,3,1,19558,0
10,9,3,6,3,2,21597,0
10,10,3,6,1,3,22909,0
10,11,3,6,2,1,24156,0
10,12,3,6,2,3,25431,26079
11,1,3,6,3,1,4767,0
11,2,3,6,1,2,8237,0
11,3,3,6,3,1,9383,0
11,4,3,6,2,3,10534,0
11,5,3,6,2,3,12790,0
11,6,3,6,1,2,15589,0
11,7,3,6,3,2,16416,0
11,8,3,6,3,1,19911,0
11,9,3,6,2,3,21291,0
11,10,3,6,2,3,23157,23732
12,1,3,7,2,1,2176,0
12,2,3,7,3,2,4253,0
12,3,3,7,3,2,7337,0
12,4,3,7,1,3,8321,0
12,5,3,7,2,1,9641,0
12,6,3,7,2,3,10743,0
12,7,3,7,1,3,11939,12568
13,1,3,7,3,1,1379,0
13,2,3,7,3,2,3006,0
13,3,3,7,1,3,6979,0
13,4,3,7,2,1,8235,0
13,5,3,7,3,2,10355,0
13,6,3,7,2,2,14562,0
13,7,3,7,2,3,16847,0
13,8,3,7,1,2,17915,0
13,9,3,7,3,1,18981,0
13,10,3,7,2,3,20243,0
13,11,3,7,2,3,22578,0
13,12,3,7,1,2,24578,0
13,13,3,7,3,1,25627,0
13,14,3,7,3,2,27203,0
13,15,3,7,1,3,28503,0
13,16,3,7,2,1,29979,0
13,17,3,7,2,3,30971,0
13,18,3,7,1,2,32560,33111
