Subnum trial run rule lastrule color shape number resp corr last_corr corr_col corr_shape corr_num persev persev_err abstime rt
0 1 1 1 -1 Blue Star 4 4 1 0 1 0 1 0 0 3237 3504
0 2 1 1 -1 Green Star 3 3 0 0 0 0 1 0 0 7565 11720
0 3 1 1 -1 Green Cross 2 2 1 0 1 0 1 0 0 20109 9655
0 4 1 1 -1 Blue Star 3 3 0 0 0 0 1 0 0 30628 9335
0 5 1 1 -1 Green Star 3 3 0 0 0 0 1 0 0 40787 10528
0 6 1 1 -1 Blue Circle 2 4 1 0 1 1 0 0 0 52139 3855
0 7 1 1 -1 Yellow Circle 2 4 0 0 0 1 0 0 0 56822 5556
0 8 1 1 -1 Red Star 4 1 1 0 1 0 0 0 0 63202 4871
0 9 1 1 -1 Yellow Circle 3 3 1 0 1 0 1 0 0 68981 4196
0 10 1 1 -1 Red Triangle 3 1 1 0 1 1 0 0 0 74008 4201
0 11 1 1 -1 Green Circle 2 2 1 0 1 0 1 0 0 79119 3770
0 12 1 1 -1 Green Circle 4 2 1 0 1 0 0 0 0 83756 5517
0 13 1 1 -1 Yellow Circle 3 3 1 0 1 0 1 0 0 90139 3309
0 14 1 1 -1 Red Circle 1 1 1 0 1 0 1 0 0 94279 6049
0 15 1 1 -1 Yellow Star 3 3 1 0 1 0 1 0 0 101234 5126
0 16 1 1 -1 Green Triangle 1 2 1 0 1 0 0 0 0 107185 3807
0 17 1 1 -1 Blue Cross 2 4 1 0 1 0 0 0 0 111856 2663
0 18 2 2 1 Yellow Triangle 2 3 0 1 1 0 0 1 1 115344 13143
0 19 2 2 1 Blue Cross 3 3 1 0 0 1 1 0 0 129311 9599
0 20 2 2 1 Red Circle 2 2 0 0 0 0 1 0 0 139734 5008
0 21 2 2 1 Red Triangle 4 1 1 1 1 1 0 1 0 145606 11087
0 22 2 2 1 Yellow Cross 2 3 1 1 1 1 0 1 0 157601 11483
0 23 2 2 1 Red Triangle 4 1 1 1 1 1 0 1 0 169911 4173
0 24 2 2 1 Green Circle 3 4 1 0 0 1 0 0 0 174992 3162
0 25 2 2 1 Blue Star 4 4 0 1 1 0 1 1 1 178978 4105
0 26 2 2 1 Blue Cross 1 4 0 1 1 0 0 1 1 183907 29927
0 27 2 2 1 Blue Triangle 3 1 1 0 0 1 0 0 0 214657 14368
0 28 2 2 1 Green Cross 3 3 1 0 0 1 1 0 0 229934 2867
0 29 2 2 1 Green Triangle 4 1 1 0 0 1 0 0 0 233624 4408
0 30 2 2 1 Green Star 2 2 1 1 1 1 1 1 0 238942 3202
0 31 2 2 1 Blue Triangle 2 1 1 0 0 1 0 0 0 243009 3600
0 32 2 2 1 Red Triangle 1 1 1 1 1 1 1 1 0 247516 7796
0 33 2 2 1 Blue Circle 3 4 1 1 1 1 0 1 0 256220 5220
0 34 2 2 1 Green Circle 3 4 1 0 0 1 0 0 0 262265 3270
0 35 2 2 1 Blue Triangle 1 1 1 0 0 1 1 0 0 266360 3272
