Subnum trial run rule lastrule color shape number resp corr last_corr corr_col corr_shape corr_num persev persev_err abstime rt
0 1 1 1 -1 Green Circle 1 2 1 0 1 0 0 0 0 32441 1614
0 2 1 1 -1 Green Triangle 1 2 1 0 1 0 0 0 0 34916 1315
0 3 1 1 -1 Yellow Cross 2 3 1 0 1 1 0 0 0 37092 2916
0 4 1 1 -1 Yellow Triangle 2 3 1 0 1 0 0 0 0 40827 2694
0 5 1 1 -1 Blue Star 3 4 1 0 1 0 0 0 0 44341 3060
0 6 1 1 -1 Green Triangle 1 2 1 0 1 0 0 0 0 48220 2124
0 7 1 1 -1 Blue Triangle 1 4 1 0 1 0 0 0 0 51206 2081
0 8 1 1 -1 Blue Circle 3 4 1 0 1 1 0 0 0 54106 1775
0 9 1 1 -1 Green Cross 4 2 1 0 1 0 0 0 0 56698 2169
0 10 1 1 -1 Red Star 4 1 1 0 1 0 0 0 0 59725 3814
0 11 2 2 1 Blue Star 4 4 0 1 1 0 1 1 1 64439 15934
0 12 2 2 1 Yellow Cross 2 2 0 0 0 0 1 0 0 81192 8925
0 13 2 2 1 Yellow Star 4 4 0 0 0 0 1 0 0 90977 9471
0 14 2 2 1 Red Triangle 1 1 1 1 1 1 1 1 0 101266 11535
0 15 2 2 1 Blue Circle 2 4 1 1 1 1 0 1 0 113701 18670
0 16 2 2 1 Yellow Circle 4 4 1 0 0 1 1 0 0 133191 3548
0 17 2 2 1 Blue Cross 1 3 1 0 0 1 0 0 0 137559 12774
0 18 2 2 1 Blue Cross 3 3 1 0 0 1 1 0 0 151152 1837
0 19 2 2 1 Yellow Triangle 3 1 1 0 0 1 0 0 0 153808 4301
0 20 2 2 1 Red Circle 1 4 1 0 0 1 0 0 0 159011 1987
0 21 2 2 1 Green Star 1 2 1 1 1 1 0 1 0 161816 1862
0 22 2 2 1 Green Circle 2 4 1 0 0 1 0 0 0 164539 4444
0 23 2 2 1 Yellow Cross 3 3 1 1 1 1 1 1 0 169803 1916
0 24 3 3 2 Blue Triangle 3 1 0 1 0 1 0 1 1 172540 6412
0 25 3 3 2 Green Circle 4 4 1 1 0 1 1 1 0 179850 17600
0 26 3 3 2 Yellow Cross 1 3 0 1 1 1 0 1 1 198268 9847
0 27 3 3 2 Red Triangle 2 1 0 1 1 1 0 1 1 208935 9221
0 28 3 3 2 Yellow Circle 4 4 1 1 0 1 1 1 0 219056 6293
0 29 3 3 2 Red Triangle 3 1 0 1 1 1 0 1 1 226168 6790
0 30 3 3 2 Yellow Triangle 1 1 1 1 0 1 1 1 0 233856 10016
0 31 3 3 2 Green Star 3 2 0 1 1 1 0 1 1 244771 7293
0 32 3 3 2 Yellow Cross 4 3 0 1 1 1 0 1 1 252924 6100
0 33 3 3 2 Yellow Circle 3 4 0 1 0 1 0 1 1 259843 5839
0 34 3 3 2 Yellow Circle 2 2 1 0 0 0 1 0 0 266501 56643
0 35 3 3 2 Blue Triangle 2 2 1 0 0 0 1 0 0 324003 11343
0 36 3 3 2 Yellow Star 1 1 1 0 0 0 1 0 0 336206 1684
0 37 3 3 2 Blue Cross 2 2 1 0 0 0 1 0 0 338789 1197
0 38 3 3 2 Red Star 1 1 1 0 1 0 1 0 0 340846 1821
0 39 3 3 2 Yellow Circle 1 1 1 0 0 0 1 0 0 343566 2381
0 40 3 3 2 Yellow Triangle 1 1 1 1 0 1 1 1 0 346846 2229
0 41 3 3 2 Blue Circle 4 4 1 1 1 1 1 1 0 349975 3172
0 42 3 3 2 Blue Triangle 3 3 1 0 0 0 1 0 0 353966 5798
0 43 3 3 2 Red Cross 1 1 1 0 1 0 1 0 0 360585 2764
0 44 4 1 3 Green Star 4 2 1 0 1 1 0 0 0 364248 10550
0 45 4 1 3 Red Cross 2 1 1 0 1 0 0 0 0 375656 46908
0 46 4 1 3 Red Star 3 1 1 0 1 0 0 0 0 423464 2242
0 47 4 1 3 Red Circle 2 1 1 0 1 0 0 0 0 426604 2145
0 48 4 1 3 Blue Circle 1 4 1 0 1 1 0 0 0 429648 2539
0 49 4 1 3 Red Cross 3 1 1 0 1 0 0 0 0 433009 3717
0 50 4 1 3 Yellow Star 2 3 1 0 1 0 0 0 0 437625 5294
0 51 4 1 3 Blue Cross 4 4 1 1 1 0 1 1 0 443739 2915
0 52 4 1 3 Green Star 2 2 1 1 1 1 1 1 0 447473 5038
0 53 4 1 3 Green Star 1 2 1 0 1 1 0 0 0 453371 3844
0 54 5 2 1 Red Star 2 1 0 1 1 0 0 1 1 458073 9760
0 55 5 2 1 Red Circle 3 1 0 1 1 0 0 1 1 468732 6775
0 56 5 2 1 Green Triangle 3 1 1 0 0 1 0 0 0 476407 17692
0 57 5 2 1 Green Circle 4 4 1 0 0 1 1 0 0 494999 13046
0 58 5 2 1 Green Cross 3 3 1 0 0 1 1 0 0 508863 2190
0 59 5 2 1 Red Cross 4 3 1 0 0 1 0 0 0 511871 4607
0 60 5 2 1 Blue Star 4 2 1 0 0 1 0 0 0 517297 3733
0 61 5 2 1 Green Triangle 2 1 1 0 0 1 0 0 0 521908 2275
0 62 5 2 1 Green Cross 3 3 1 0 0 1 1 0 0 525083 2500
0 63 5 2 1 Red Cross 2 3 1 0 0 1 0 0 0 528402 5062
0 64 5 2 1 Green Star 4 2 1 1 1 1 0 1 0 534284 4421
0 65 5 2 1 Red Triangle 4 1 1 1 1 1 0 1 0 539565 2332
0 66 6 3 2 Blue Triangle 1 1 1 1 0 1 1 1 0 542797 6053
0 67 6 3 2 Blue Cross 4 3 0 1 0 1 0 1 1 549748 6655
0 68 6 3 2 Red Triangle 4 1 0 1 1 1 0 1 1 557223 10445
0 69 6 3 2 Green Cross 1 1 1 0 0 0 1 0 0 568569 6852
0 70 6 3 2 Yellow Cross 3 3 1 1 1 1 1 1 0 576323 8514
0 71 6 3 2 Green Star 2 2 1 1 1 1 1 1 0 585656 2429
0 72 6 3 2 Yellow Star 3 3 1 0 1 0 1 0 0 588945 3750
0 73 6 3 2 Green Star 3 3 1 0 0 0 1 0 0 593515 3531
0 74 6 3 2 Blue Star 2 2 1 1 0 1 1 1 0 597865 3079
0 75 6 3 2 Blue Cross 1 1 1 0 0 0 1 0 0 601802 4559
0 76 6 3 2 Green Cross 2 2 1 0 1 0 1 0 0 607262 2051
0 77 6 3 2 Red Circle 1 1 1 0 1 0 1 0 0 610172 2844
0 78 6 3 2 Blue Star 2 2 1 1 0 1 1 1 0 613916 2910
